State	Fips	85	90	95	00	05	25
05	125	7.93	30.91	9.69	13.79	9.27	5.654
05	127	2.87	3.41	2.74	2.33	2.80	2.098
05	129	1.38	1.65	1.76	0.95	0.99	0.458
05	131	25.21	22.17	32.37	30.19	39.40	51.708
05	133	3.76	6.56	4.37	4.57	2.56	1.73
05	135	2.95	1.95	2.02	2.23	5.29	5.864
05	137	2.33	2.70	1.80	0.98	2.43	1.136
05	139	15.41	11.72	15.88	17.83	20.74	26.378
05	141	2.52	2.45	2.52	2.01	3.01	2.826
05	143	25.57	15.46	27.37	27.68	3.80	1.184
05	145	98.67	153.01	114.02	129.05	91.52	94.298
05	147	146.93	157.69	274.65	432.61	351.47	683.07
05	149	13.72	13.87	9.70	4.46	9.79	-0.054
06	001	228.62	237.83	237.03	257.55	171.76	170.158
06	003	26.04	27.25	23.68	15.13	15.11	1.054
06	005	17.56	26.37	26.77	32.17	24.06	36.666
06	007	1240.08	860.03	957.73	1077.98	789.94	575.754
06	009	9.69	13.57	14.72	17.24	17.29	25.824
06	011	994.50	880.76	1049.13	913.57	916.29	876.684
06	013	1450.39	1143.59	885.04	1242.13	1679.12	1613.654
06	015	12.79	13.71	19.72	21.82	9.02	15.754
06	017	38.31	62.54	73.79	55.15	46.01	59.966
06	019	3397.07	3612.62	3553.88	3744.99	3260.22	3428.958
06	021	855.47	799.02	848.36	683.75	741.20	579.274
06	023	121.04	111.76	199.52	152.83	137.18	188.476
06	025	2474.84	2457.56	2608.60	2886.61	2144.94	2376.06
06	027	65.82	124.60	149.42	120.87	80.43	123.522
06	029	3194.84	3031.43	2514.78	2884.94	2663.55	2132.466
06	031	1448.83	1378.95	1413.44	1536.09	1380.43	1443.752
06	033	80.37	60.96	63.57	51.99	45.22	12.86
06	035	250.67	291.43	300.85	485.3	246.87	426.786
06	037	5984.86	4173.12	4146.57	5364.88	3811.06	2802.594
06	039	1136.66	878.17	980.96	993.38	834.79	671.674
06	041	43.16	39.97	40.97	44.48	36.76	36.094
06	043	2.91	7.52	8.32	6.43	9.24	13.826
06	045	65.79	15.25	52.56	56.63	58.11	65.28
06	047	1907.17	1618.97	1688.43	1880.06	1624.90	1561.836
06	049	446.64	450.93	429.00	240.54	313.82	90.568
06	051	182.79	212.91	221.43	192.96	211.14	226.296
06	053	1450.66	1259.73	1295.09	1781.73	1129.19	1310.716
06	055	54.76	64.25	67.30	81.07	51.75	70.306
06	057	62.41	79.73	40.75	48.31	88.88	76.928
06	059	870.29	719.57	668.59	723.42	717.60	558.976
06	061	244.99	261.15	200.23	189	209.19	134.662
06	063	195.06	122.41	130.11	55.31	79.27	-62.776
06	065	1461.99	1434.91	1432.39	1688.12	1257.45	1361.45
06	067	823.53	718.19	876.08	783.34	774.33	775.144
06	069	104.30	78.88	87.50	92.71	69.44	53.032
06	071	587.36	628.02	618.00	652.57	586.09	627.614
06	073	3549.32	4450.48	3168.58	4393.87	4085.08	4538.412
06	075	592.50	535.26	562.92	252.94	1668.32	1843.98
06	077	1656.13	1786.61	1816.79	1746.04	1483.54	1466.372
06	079	1657.38	2875.31	2703.35	3110.71	2774.10	4105.474
06	081	104.33	109.80	111.47	102.86	151.12	167.9
06	083	354.23	295.27	325.73	426.82	239.62	269.732
06	085	332.40	320.25	350.29	342.4	296.09	298.004
06	087	70.61	53.05	72.24	78.28	73.69	88.408
06	089	319.48	385.32	310.82	433.5	236.16	265.98
06	091	43.30	4.53	40.62	44.43	63.41	87.33
06	093	486.49	457.94	474.59	561.72	384.78	413.32
06	095	568.10	577.86	526.52	517.72	467.90	375.296
06	097	391.72	198.04	141.16	159.3	114.33	-155.202
06	099	1372.62	1296.11	1437.92	1615.25	1457.93	1729.822
06	101	1507.95	954.45	1053.87	922.21	833.72	226.02
06	103	345.81	347.98	399.83	412.31	538.75	679.062
06	105	5.98	26.13	25.54	44.83	21.63	54.822
06	107	2327.64	1968.85	2208.74	2409.09	2274.96	2438.784
06	109	7.31	22.92	37.92	32.76	33.84	64.69
06	111	1275.52	1078.93	798.67	1110.6	1198.61	1019.176
06	113	865.33	841.13	1090.05	1028.1	738.78	873.0
06	115	361.56	360.55	354.73	372.12	351.72	355.27
08	001	128.12	138.05	132.34	133.59	185.27	209.378
08	003	349.33	337.39	413.76	224.83	272.12	159.298
08	005	90.59	81.74	86.52	111.99	84.94	102.526
08	007	32.98	45.73	48.23	66.61	71.48	111.734
08	009	90.11	92.28	105.75	111.58	127.78	162.284
08	011	366.66	174.27	426.04	324.5	211.34	204.316
08	013	219.24	211.98	173.56	182.02	203.73	161.518
08	014	70.57	71.63	0	49.7	5.23	-52.14
08	015	60.68	117.23	56.69	72.16	122.91	133.568
08	017	24.64	26.69	26.42	32.58	39.25	50.982
08	019	14.88	14.28	7.36	1.81	1.71	-15.278
08	021	528.52	328.71	731.55	254.02	359.25	192.472
08	023	161.46	152.01	196.77	100.32	173.01	139.56
08	025	117.07	67.10	64.78	97.95	34.26	-4.63
08	027	33.50	25.80	41.62	49.3	45.32	67.392
08	029	762.01	676.71	704.31	678.54	466.04	303.456
08	031	166.51	145.36	122.54	159.17	236.44	258.206
08	033	6.06	15.71	28.46	54.64	34.74	85.696
08	035	14.69	24.60	28.71	43.34	43.37	76.602
08	037	224.39	184.24	137.60	140.59	156.83	61.468
08	039	11.67	23.54	33.80	18.39	36.63	51.668
08	041	108.82	125.07	134.70	138.49	157.08	198.796
08	043	90.19	193.70	158.86	160.42	150.85	203.628
08	045	560.15	419.86	562.60	420.8	352.12	214.034
08	047	0.41	0.45	0.52	0.63	0.62	0.886
08	049	144.41	167.92	204.23	110.39	230.67	240.518
08	051	237.96	271.92	286.35	241.94	559.74	687.73
08	053	3.72	9.48	13.19	9.71	70.35	101.384
08	055	57.34	35.73	91.30	68.16	36.50	52.256
08	057	345.99	358.08	401.09	322.82	428.52	449.18
08	059	140.26	110.11	96.68	144.14	86.85	71.934
08	061	9.41	7.36	14.78	28.75	8.61	25.656
08	063	146.33	194.73	166.44	186.44	284.75	356.868
08	065	21.16	43.69	26.21	41.02	14.67	19.96
08	067	370.72	309.92	378.44	220.61	383.49	294.374
08	069	341.78	297.01	270.51	272.04	504.35	517.24
08	071	149.08	64.90	120.87	121.73	67.67	41.256
08	073	7.37	8.76	17.63	20.22	6.41	17.802
08	075	243.59	280.29	335.61	309.31	290.42	365.452
08	077	1328.64	941.88	972.94	1201.97	926.30	747.592
08	079	3.10	6.58	2.06	0.11	21.79	25.274
08	081	228.04	247.69	207.44	208.74	165.36	112.868
08	083	241.97	323.98	313.98	428.75	249.65	383.744
08	085	672.75	691.07	644.15	597.74	705.81	645.978
08	087	351.77	310.81	335.85	288.21	293.49	232.53
08	089	309.02	351.44	424.63	281.91	393.47	411.716
08	091	59.67	55.68	58.01	82.1	103.87	140.758
08	093	30.79	22.34	8.65	28.13	21.96	15.252
08	095	93.33	102.77	86.21	129.83	104.49	132.954
08	097	67.73	82.90	46.63	43.19	130.89	126.234
